open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1762628100000,3403.45,3406.46,3401.34,3401.35,12307.986,1762628399999,41893590.07019,14818,5795.733,19730343.51684,0
1762628400000,3401.34,3402.68,3398.31,3402.32,5338.036,1762628699999,18149007.58958,12353,2558.723,8699783.18168,0
1762628700000,3402.31,3405.03,3399.79,3401.44,4684.450,1762628999999,15937458.90141,11536,1955.722,6653803.70891,0
1762629000000,3401.44,3402.75,3398.35,3398.59,4301.074,1762629299999,14622153.55099,8499,1565.775,5322932.07826,0
1762629300000,3398.60,3399.57,3385.86,3387.25,13628.990,1762629599999,46229269.21428,21902,4370.379,14823202.79224,0
1762629600000,3387.25,3388.13,3362.55,3363.52,32434.234,1762629899999,109411946.08172,44671,12968.807,43741831.70484,0
1762629900000,3363.51,3372.46,3361.49,3371.75,12474.440,1762630199999,42012780.56150,24509,8674.972,29216250.76866,0
1762630200000,3371.76,3375.48,3369.42,3372.29,8981.929,1762630499999,30289075.66815,19313,5247.288,17696565.72322,0
1762630500000,3372.29,3381.86,3370.41,3380.80,7624.758,1762630799999,25747291.59486,16591,5165.555,17442748.81468,0
1762630800000,3380.80,3384.80,3380.80,3382.30,4667.117,1762631099999,15787247.72999,11148,2474.407,8369961.30157,0
1762631100000,3382.31,3387.65,3380.27,3383.94,4311.789,1762631399999,14590545.31862,12659,2074.089,7018769.80691,0
1762631400000,3383.93,3385.77,3383.01,3383.76,2913.564,1762631699999,9861519.89392,8046,1328.993,4498045.18950,0
1762631700000,3383.77,3389.29,3383.55,3387.61,3455.483,1762631999999,11703032.25032,8149,2119.192,7177310.77050,0
1762632000000,3387.62,3393.00,3386.49,3392.52,8076.640,1762632299999,27378016.08003,14265,4586.735,15549313.93422,0
1762632300000,3392.53,3394.64,3384.58,3386.29,4745.712,1762632599999,16084819.88290,12040,1987.331,6737375.85779,0
1762632600000,3386.28,3389.68,3378.40,3380.83,6279.890,1762632899999,21241340.16378,14299,2228.857,7537988.23488,0
1762632900000,3380.83,3390.50,3380.24,3390.24,3457.352,1762633199999,11704631.52677,11424,2299.363,7785033.93633,0
1762633200000,3390.25,3390.48,3384.00,3388.63,2460.674,1762633499999,8335439.53688,10664,1286.560,4358258.83507,0
1762633500000,3388.62,3391.36,3388.62,3391.36,3261.821,1762633799999,11056590.69533,7176,1855.579,6289798.99601,0
1762633800000,3391.36,3393.49,3389.54,3390.59,2348.888,1762634099999,7966355.69081,8153,1410.920,4785297.24371,0
1762634100000,3390.59,3398.00,3390.59,3396.60,4960.324,1762634399999,16842889.98570,11299,3164.386,10744229.34783,0
1762634400000,3396.61,3400.39,3394.71,3398.02,4697.199,1762634699999,15960470.89215,11368,2654.218,9019035.70912,0
1762634700000,3398.01,3402.49,3395.88,3399.55,6536.532,1762634999999,22218624.22119,13610,3230.720,10981174.53345,0
1762635000000,3399.55,3401.00,3397.09,3397.74,1963.929,1762635299999,6676131.01990,7734,778.641,2647183.28201,0
1762635300000,3397.74,3398.34,3395.01,3396.10,5042.216,1762635599999,17124388.66245,8583,1165.486,3958289.97185,0
1762635600000,3396.10,3398.44,3394.52,3397.43,2665.434,1762635899999,9051933.01402,7447,1072.005,3640712.03010,0
1762635900000,3397.44,3398.43,3395.41,3396.92,2067.379,1762636199999,7022928.57990,8167,705.168,2395181.45408,0
1762636200000,3396.91,3398.61,3393.00,3394.19,2967.704,1762636499999,10079365.99914,8728,1176.061,3993363.72352,0
1762636500000,3394.20,3398.00,3393.42,3397.88,2831.840,1762636799999,9614456.31580,8120,1738.556,5902383.80719,0
1762636800000,3397.87,3400.47,3395.52,3398.50,2587.974,1762637099999,8796584.08914,8333,1732.888,5890247.89705,0
1762637100000,3398.50,3402.00,3397.48,3400.97,2596.128,1762637399999,8828194.32498,7120,1298.499,4415473.37136,0
1762637400000,3400.97,3404.82,3399.37,3403.09,4115.065,1762637699999,14003308.00243,9533,2489.431,8471990.84874,0
1762637700000,3403.09,3408.00,3402.00,3402.70,8476.327,1762637999999,28857048.04730,16950,3548.358,12081161.49939,0
1762638000000,3402.71,3408.21,3402.70,3407.25,3045.082,1762638299999,10374560.52961,8839,1471.286,5012366.96733,0
1762638300000,3407.26,3408.44,3404.93,3408.07,3578.683,1762638599999,12190137.80286,10425,1655.298,5638673.08353,0
1762638600000,3408.08,3408.75,3401.45,3404.12,3864.185,1762638899999,13156563.61920,12041,1061.450,3614223.38633,0
1762638900000,3404.12,3407.00,3403.23,3404.18,1185.017,1762639199999,4034897.11636,7351,498.244,1696493.34311,0
1762639200000,3404.19,3404.19,3398.49,3399.71,3422.323,1762639499999,11637242.02561,9611,883.529,3004523.70144,0
1762639500000,3399.71,3400.80,3396.35,3400.80,1801.049,1762639799999,6120837.43667,7535,613.968,2086722.82732,0
1762639800000,3400.80,3401.46,3397.49,3397.50,2025.461,1762640099999,6886667.73648,4585,895.235,3044047.47687,0
1762640100000,3397.50,3397.65,3392.66,3396.62,2974.741,1762640399999,10100421.12557,6705,1157.696,3930405.69104,0
1762640400000,3396.61,3404.10,3396.61,3402.45,3197.404,1762640699999,10873366.66039,6813,2022.135,6877052.26475,0
1762640700000,3402.45,3403.80,3401.00,3402.07,1532.520,1762640999999,5213771.99151,4610,634.299,2157941.83349,0
1762641000000,3402.08,3402.08,3399.40,3399.40,1750.834,1762641299999,5954924.52873,4392,372.155,1265779.77479,0
1762641300000,3399.40,3400.36,3397.19,3398.06,1395.669,1762641599999,4743951.93748,3636,583.468,1983318.07432,0
1762641600000,3398.07,3403.52,3397.71,3397.71,3171.950,1762641899999,10788229.07186,6941,1895.288,6446677.47461,0
1762641900000,3397.71,3405.44,3397.25,3403.58,3642.595,1762642199999,12392715.03630,9472,2571.937,8749288.71094,0
1762642200000,3403.58,3409.89,3402.87,3406.94,4192.587,1762642499999,14286176.59417,9903,2093.705,7134900.18496,0
1762642500000,3406.94,3408.72,3406.38,3407.46,3205.308,1762642799999,10921393.58939,6516,1346.207,4586765.89773,0
1762642800000,3407.45,3409.09,3404.41,3407.63,4402.484,1762643099999,14997303.57402,11692,2353.328,8015896.31171,0
1762643100000,3407.63,3408.50,3402.87,3404.79,4201.865,1762643399999,14309009.83139,10915,1346.362,4584501.77422,0
1762643400000,3404.78,3409.40,3404.48,3408.62,1820.241,1762643699999,6203268.37384,6678,990.157,3374195.40878,0
1762643700000,3408.62,3410.79,3406.63,3406.64,3373.291,1762643999999,11499695.05014,9349,1676.456,5715372.65503,0
1762644000000,3406.63,3408.48,3406.42,3407.47,2240.119,1762644299999,7632699.88515,6263,1245.246,4242706.70326,0
1762644300000,3407.46,3408.22,3405.62,3406.80,1631.801,1762644599999,5559107.32939,4262,708.584,2413900.60505,0
1762644600000,3406.80,3414.33,3406.80,3410.16,5654.254,1762644899999,19287188.85207,14181,3473.115,11847485.22950,0
1762644900000,3410.16,3410.17,3404.41,3406.98,2886.678,1762645199999,9835024.92620,7389,903.743,3079138.31243,0
1762645200000,3406.98,3408.48,3405.00,3405.01,1864.091,1762645499999,6349396.20361,7213,715.440,2436718.48333,0
1762645500000,3405.00,3406.08,3402.20,3405.24,2195.227,1762645799999,7472604.88429,6641,877.018,2985364.12521,0
1762645800000,3405.23,3405.27,3399.89,3400.00,3035.027,1762646099999,10322637.73658,7545,747.992,2544271.26125,0
1762646100000,3400.02,3400.28,3398.26,3400.07,2307.863,1762646399999,7845095.42455,6627,1004.368,3414126.29295,0
